business,contact_name,title,phones,email,city,state,website,source,note
AMBI Skincare,,,(800) 946-6354,consumer@etbrowne.com,,,,https://ambi.com/pages/contact-us,firecrawl
Briarwood Cattle Farm,,,(910) 565-2222,briarwoodcattlefarm@gmail.com,Red Springs,North Carolina,,https://www.facebook.com/briarwoodcattle.farm/,firecrawl
Brown Bass Farm,,,(423) 991-4198,brownbassfarm@gmail.com,Clarksville,Tennessee,,https://blackfarmersindex.com/region-3-tennessee,firecrawl
Chauncey'S,Melanie Kerr,Adjunct Professor,(989) 742-3282,eatmore@eatmorechaunceys.com,Baltimore,Maryland,,https://www.yelp.com/biz/chaunceys-pub-hillman,firecrawl
"Earthly, Holistic & Organic Garden + *Thirdday Soaps Garden Wellness",,,(412) 290-0611,thirddaysoapsgarden@gmail.com,Duquesne,Pennsylvania,,https://greenbeautycommunity.com/directory/third-day-soaps-garden-wellness/,firecrawl
Elements of Nature,,,(205) 489-5153 | (205) 489-5155,elementsofnatureusa@gmail.com,Clinton,Maryland,,https://www.elementstile.com/contact,firecrawl
Faith Farms,,,(901) 299-7707,faithgaryin@gmail.com,Gary,Indiana,,https://faithfarmsgms.com/pages/contact-us?srsltid=AfmBOooONYwjoMd0eSUYEbKs5IgExUckMf7Lhlcl_IcRg73RSskHAqU3,firecrawl
Foxfire Ranch,,,(662) 278-0279,foxfireranch@gmail.com,Waterford,Mississippi,,https://www.yelp.com/biz/foxfire-ranch-waterford-2,firecrawl
Gustus Vitae,Francis Scanlon,,(424) 229-2367,hello@gustusvitae.com,,,http://www.gustusvitae.com,,apollo
Hempress Farms,,,(336) 775-7663,hempressfarmsllc@gmail.com,Winston-Salem,North Carolina,,https://bestofwinston.com/location/hempress-farms/,firecrawl
Hidden Gems Farm,,,(571) 320-1479,hiddengemsfarmva@gmail.com,Centreville,Virginia,,https://www.yelp.com/biz/hidden-gems-farm-centreville,firecrawl
Igotchu Seasonings,Lorri B,,(833) 822-7222,igotchuseasonings@gmail.com,,,,https://www.yelp.com/biz/igotchu-seasonings-tucker,firecrawl
Iléwa Foods,Ade Carrena,,(474) 309-6808,support@peoplefirsttourism.com,,,http://www.peoplefirsttourism.com,https://peoplefirsttourism.com/contact,firecrawl
Jackson Family Farm,,,(269) 767-4410,orders@jacksonfamilyfarmblueberries.com,Covert,Michigan,http://www.jacksonfamilyfarmblueberries.com,,apollo
Joppy Mommas Farm,,,(469) 844-5229,info@joppymommas.org,Dallas,Texas,,https://joppymommasfarm.org/,firecrawl
Jubilee Justice,,,(800) 854-0586,info@jubileejustice.org,Alexandria,Louisiana,,https://non-gmoreport.com/articles/jubilee-justice-black-farmers-reclaim-land-and-livelihood-with-regenerative-rice-project/,firecrawl
Muhammad Family Farm,,,(757) 556-2381,ourcommunityfarmersmarketbva01@gmail.com,,Virginia,,https://www.yelp.com/biz/muhammad-family-farm-branchville,firecrawl
Mystic Pine Farm,,,(434) 332-9595 | (434) 332-9617,mysticpinefarm@gmail.com,Altavista,Virginia,,https://www.campbellvirginia.com/business-directory/mystic-pine-farm,firecrawl
New Age Provisions Farms,,,(317) 370-3670,newageprovision@gmail.com,Indianapolis,Indiana,,https://www.facebook.com/NAPfarms/,firecrawl
Nurturing Our Seeds,,,(313) 461-4432,management@nurturingourseeds.org,Detroit,Michigan,,http://nurturingourseeds.org/contact/,firecrawl
Oakland Avenue Urban Farm,,,(313) 649-7756,info@oaklandurbanfarm.org,Detroit,Michigan,http://www.oaklandurbanfarm.org,,apollo
Old City Acres,,,(734) 771-9984,oldcityacres@gmail.com,Belleville,Michigan,,https://www.oldcityacres.com/contact-us.html,firecrawl
Out the Mud Farm,,,(615) 624-2160 | (615) 474-2440,monica@outthemudfarm.com,Murfreesboro,Tennessee,,https://sites.google.com/outthemudfarm.com/out-the-mud-farm/home?authuser=0,firecrawl
Prairie Hills Farm,,,(415) 362-1137,prairiehillsfarm@yahoo.com,Selma,Indiana,,https://www.pollinator.org/blog/prairie-hills-farm,firecrawl
